geo_level,district_name,district_code,district_cds,county_name,county_code,year,subgroup,cohort,chronic_absent_count,chronic_absent_rate,non_chronic_rate,rate_all,gap_vs_all
district,ABC Unified,64212,1964212,Los Angeles,19,2024,All Students,18598.0,2559.0,0.1376,0.8624,0.1376,0.0
district,ABC Unified,64212,1964212,Los Angeles,19,2024,American Indian/Alaska Native,0.0,0.0,,,0.1376,
district,ABC Unified,64212,1964212,Los Angeles,19,2024,Asian,4303.0,195.0,0.0453,0.9547,0.1376,-0.0923
district,ABC Unified,64212,1964212,Los Angeles,19,2024,Black/African American,1292.0,280.0,0.2167,0.7833,0.1376,0.0791
district,ABC Unified,64212,1964212,Los Angeles,19,2024,English Learners,2213.0,418.0,0.1889,0.8111,0.1376,0.0513
district,ABC Unified,64212,1964212,Los Angeles,19,2024,Female,9028.0,1266.0,0.1402,0.8598,0.1376,0.0026
district,ABC Unified,64212,1964212,Los Angeles,19,2024,Filipino,2099.0,123.0,0.0586,0.9414,0.1376,-0.079
district,ABC Unified,64212,1964212,Los Angeles,19,2024,Foster,16.0,6.0,0.375,0.625,0.1376,0.2374
district,ABC Unified,64212,1964212,Los Angeles,19,2024,GR13,3743.0,396.0,0.1058,0.8942,0.1376,-0.0318
district,ABC Unified,64212,1964212,Los Angeles,19,2024,GR46,4190.0,418.0,0.0998,0.9002,0.1376,-0.0378
district,ABC Unified,64212,1964212,Los Angeles,19,2024,GR78,2905.0,354.0,0.1219,0.8781,0.1376,-0.0157
district,ABC Unified,64212,1964212,Los Angeles,19,2024,GR912,6291.0,1169.0,0.1858,0.8142,0.1376,0.0482
district,ABC Unified,64212,1964212,Los Angeles,19,2024,GRTK8,12306.0,1389.0,0.1129,0.8871,0.1376,-0.0247
district,ABC Unified,64212,1964212,Los Angeles,19,2024,GRTKKN,1462.0,221.0,0.1512,0.8488,0.1376,0.0136
district,ABC Unified,64212,1964212,Los Angeles,19,2024,Hispanic/Latino,8513.0,1606.0,0.1887,0.8113,0.1376,0.0511
district,ABC Unified,64212,1964212,Los Angeles,19,2024,Homeless,177.0,100.0,0.565,0.435,0.1376,0.4274
district,ABC Unified,64212,1964212,Los Angeles,19,2024,Male,9565.0,1292.0,0.1351,0.8649,0.1376,-0.0025
district,ABC Unified,64212,1964212,Los Angeles,19,2024,Migrant,1744.0,296.0,0.1697,0.8303,0.1376,0.0321
district,ABC Unified,64212,1964212,Los Angeles,19,2024,Native Hawaiian/Pacific Islander,23.0,10.0,0.4348,0.5652,0.1376,0.2972
district,ABC Unified,64212,1964212,Los Angeles,19,2024,Non-binary,0.0,0.0,,,0.1376,
district,ABC Unified,64212,1964212,Los Angeles,19,2024,RD,486.0,75.0,0.1543,0.8457,0.1376,0.0167
district,ABC Unified,64212,1964212,Los Angeles,19,2024,Socioeconomically Disadvantaged,11601.0,2076.0,0.179,0.821,0.1376,0.0414
district,ABC Unified,64212,1964212,Los Angeles,19,2024,Students with Disabilities,2542.0,593.0,0.2333,0.7667,0.1376,0.0957
district,ABC Unified,64212,1964212,Los Angeles,19,2024,Two or More Races,695.0,73.0,0.105,0.895,0.1376,-0.0326
district,ABC Unified,64212,1964212,Los Angeles,19,2024,White,848.0,117.0,0.138,0.862,0.1376,0.0004
district,Acalanes Union High,61630,0761630,Contra Costa,07,2024,All Students,5462.0,549.0,0.1005,0.8995,0.1005,0.0
district,Acalanes Union High,61630,0761630,Contra Costa,07,2024,American Indian/Alaska Native,0.0,0.0,,,0.1005,
district,Acalanes Union High,61630,0761630,Contra Costa,07,2024,Asian,809.0,46.0,0.0569,0.9431,0.1005,-0.0436
district,Acalanes Union High,61630,0761630,Contra Costa,07,2024,Black/African American,92.0,11.0,0.1196,0.8804,0.1005,0.0191
district,Acalanes Union High,61630,0761630,Contra Costa,07,2024,English Learners,156.0,13.0,0.0833,0.9167,0.1005,-0.0172
district,Acalanes Union High,61630,0761630,Contra Costa,07,2024,Female,2638.0,275.0,0.1042,0.8958,0.1005,0.0037
district,Acalanes Union High,61630,0761630,Contra Costa,07,2024,Filipino,98.0,11.0,0.1122,0.8878,0.1005,0.0117
district,Acalanes Union High,61630,0761630,Contra Costa,07,2024,Foster,0.0,0.0,,,0.1005,
district,Acalanes Union High,61630,0761630,Contra Costa,07,2024,GR912,5462.0,549.0,0.1005,0.8995,0.1005,0.0
district,Acalanes Union High,61630,0761630,Contra Costa,07,2024,Hispanic/Latino,635.0,77.0,0.1213,0.8787,0.1005,0.0208
district,Acalanes Union High,61630,0761630,Contra Costa,07,2024,Homeless,11.0,6.0,0.5455,0.4545,0.1005,0.445
district,Acalanes Union High,61630,0761630,Contra Costa,07,2024,Male,2804.0,273.0,0.0974,0.9026,0.1005,-0.0031
district,Acalanes Union High,61630,0761630,Contra Costa,07,2024,Native Hawaiian/Pacific Islander,0.0,0.0,,,0.1005,
district,Acalanes Union High,61630,0761630,Contra Costa,07,2024,Non-binary,0.0,0.0,,,0.1005,
district,Acalanes Union High,61630,0761630,Contra Costa,07,2024,RD,22.0,4.0,0.1818,0.8182,0.1005,0.0813
district,Acalanes Union High,61630,0761630,Contra Costa,07,2024,Socioeconomically Disadvantaged,551.0,97.0,0.176,0.824,0.1005,0.0755
district,Acalanes Union High,61630,0761630,Contra Costa,07,2024,Students with Disabilities,704.0,149.0,0.2116,0.7884,0.1005,0.1111
district,Acalanes Union High,61630,0761630,Contra Costa,07,2024,Two or More Races,500.0,50.0,0.1,0.9,0.1005,-0.0005
district,Acalanes Union High,61630,0761630,Contra Costa,07,2024,White,3251.0,341.0,0.1049,0.8951,0.1005,0.0044
district,Ackerman Charter,66761,3166761,Placer,31,2024,All Students,610.0,45.0,0.0738,0.9262,0.0738,0.0
district,Ackerman Charter,66761,3166761,Placer,31,2024,American Indian/Alaska Native,0.0,0.0,,,0.0738,
district,Ackerman Charter,66761,3166761,Placer,31,2024,Asian,0.0,0.0,,,0.0738,
district,Ackerman Charter,66761,3166761,Placer,31,2024,Black/African American,0.0,0.0,,,0.0738,
district,Ackerman Charter,66761,3166761,Placer,31,2024,English Learners,29.0,7.0,0.2414,0.7586,0.0738,0.1676
district,Ackerman Charter,66761,3166761,Placer,31,2024,Female,300.0,20.0,0.0667,0.9333,0.0738,-0.0071
district,Ackerman Charter,66761,3166761,Placer,31,2024,Filipino,0.0,0.0,,,0.0738,
district,Ackerman Charter,66761,3166761,Placer,31,2024,Foster,0.0,0.0,,,0.0738,
district,Ackerman Charter,66761,3166761,Placer,31,2024,GR13,200.0,12.0,0.06,0.94,0.0738,-0.0138
district,Ackerman Charter,66761,3166761,Placer,31,2024,GR46,198.0,11.0,0.0556,0.9444,0.0738,-0.0182
district,Ackerman Charter,66761,3166761,Placer,31,2024,GR78,129.0,15.0,0.1163,0.8837,0.0738,0.0425
district,Ackerman Charter,66761,3166761,Placer,31,2024,GRTK8,610.0,45.0,0.0738,0.9262,0.0738,0.0
district,Ackerman Charter,66761,3166761,Placer,31,2024,GRTKKN,83.0,7.0,0.0843,0.9157,0.0738,0.0105
district,Ackerman Charter,66761,3166761,Placer,31,2024,Hispanic/Latino,100.0,8.0,0.08,0.92,0.0738,0.0062
district,Ackerman Charter,66761,3166761,Placer,31,2024,Homeless,0.0,0.0,,,0.0738,
district,Ackerman Charter,66761,3166761,Placer,31,2024,Male,310.0,25.0,0.0806,0.9194,0.0738,0.0068
district,Ackerman Charter,66761,3166761,Placer,31,2024,Native Hawaiian/Pacific Islander,0.0,0.0,,,0.0738,
district,Ackerman Charter,66761,3166761,Placer,31,2024,RD,0.0,0.0,,,0.0738,
district,Ackerman Charter,66761,3166761,Placer,31,2024,Socioeconomically Disadvantaged,232.0,23.0,0.0991,0.9009,0.0738,0.0253
district,Ackerman Charter,66761,3166761,Placer,31,2024,Students with Disabilities,74.0,5.0,0.0676,0.9324,0.0738,-0.0062
district,Ackerman Charter,66761,3166761,Placer,31,2024,Two or More Races,57.0,6.0,0.1053,0.8947,0.0738,0.0315
district,Ackerman Charter,66761,3166761,Placer,31,2024,White,439.0,30.0,0.0683,0.9317,0.0738,-0.0055
district,Acton-Agua Dulce Unified,75309,1975309,Los Angeles,19,2024,All Students,16734.0,6717.0,0.4014,0.5986,0.4014,0.0
district,Acton-Agua Dulce Unified,75309,1975309,Los Angeles,19,2024,American Indian/Alaska Native,36.0,12.0,0.3333,0.6667,0.4014,-0.0681
district,Acton-Agua Dulce Unified,75309,1975309,Los Angeles,19,2024,Asian,379.0,57.0,0.1504,0.8496,0.4014,-0.251
district,Acton-Agua Dulce Unified,75309,1975309,Los Angeles,19,2024,Black/African American,1214.0,519.0,0.4275,0.5725,0.4014,0.0261
district,Acton-Agua Dulce Unified,75309,1975309,Los Angeles,19,2024,English Learners,1744.0,981.0,0.5625,0.4375,0.4014,0.1611
district,Acton-Agua Dulce Unified,75309,1975309,Los Angeles,19,2024,Female,8272.0,3241.0,0.3918,0.6082,0.4014,-0.0096
district,Acton-Agua Dulce Unified,75309,1975309,Los Angeles,19,2024,Filipino,81.0,19.0,0.2346,0.7654,0.4014,-0.1668
district,Acton-Agua Dulce Unified,75309,1975309,Los Angeles,19,2024,Foster,203.0,137.0,0.6749,0.3251,0.4014,0.2735
district,Acton-Agua Dulce Unified,75309,1975309,Los Angeles,19,2024,GR13,1753.0,166.0,0.0947,0.9053,0.4014,-0.3067
district,Acton-Agua Dulce Unified,75309,1975309,Los Angeles,19,2024,GR46,1831.0,213.0,0.1163,0.8837,0.4014,-0.2851
district,Acton-Agua Dulce Unified,75309,1975309,Los Angeles,19,2024,GR78,1490.0,305.0,0.2047,0.7953,0.4014,-0.1967
district,Acton-Agua Dulce Unified,75309,1975309,Los Angeles,19,2024,GR912,10878.0,5932.0,0.5453,0.4547,0.4014,0.1439
district,Acton-Agua Dulce Unified,75309,1975309,Los Angeles,19,2024,GRTK8,5848.0,778.0,0.133,0.867,0.4014,-0.2684
district,Acton-Agua Dulce Unified,75309,1975309,Los Angeles,19,2024,GRTKKN,769.0,94.0,0.1222,0.8778,0.4014,-0.2792
district,Acton-Agua Dulce Unified,75309,1975309,Los Angeles,19,2024,Hispanic/Latino,10269.0,4865.0,0.4738,0.5262,0.4014,0.0724
district,Acton-Agua Dulce Unified,75309,1975309,Los Angeles,19,2024,Homeless,658.0,398.0,0.6049,0.3951,0.4014,0.2035
district,Acton-Agua Dulce Unified,75309,1975309,Los Angeles,19,2024,Male,8369.0,3426.0,0.4094,0.5906,0.4014,0.008
district,Acton-Agua Dulce Unified,75309,1975309,Los Angeles,19,2024,Migrant,0.0,0.0,,,0.4014,
district,Acton-Agua Dulce Unified,75309,1975309,Los Angeles,19,2024,Native Hawaiian/Pacific Islander,24.0,9.0,0.375,0.625,0.4014,-0.0264
district,Acton-Agua Dulce Unified,75309,1975309,Los Angeles,19,2024,Non-binary,72.0,45.0,0.625,0.375,0.4014,0.2236
district,Acton-Agua Dulce Unified,75309,1975309,Los Angeles,19,2024,RD,325.0,162.0,0.4985,0.5015,0.4014,0.0971
district,Acton-Agua Dulce Unified,75309,1975309,Los Angeles,19,2024,Socioeconomically Disadvantaged,11835.0,5602.0,0.4733,0.5267,0.4014,0.0719
district,Acton-Agua Dulce Unified,75309,1975309,Los Angeles,19,2024,Students with Disabilities,3055.0,1317.0,0.4311,0.5689,0.4014,0.0297
district,Acton-Agua Dulce Unified,75309,1975309,Los Angeles,19,2024,Two or More Races,749.0,153.0,0.2043,0.7957,0.4014,-0.1971
district,Acton-Agua Dulce Unified,75309,1975309,Los Angeles,19,2024,White,3485.0,859.0,0.2465,0.7535,0.4014,-0.1549
district,Adelanto Elementary,67587,3667587,San Bernardino,36,2024,All Students,9493.0,3395.0,0.3576,0.6424,0.3576,0.0
district,Adelanto Elementary,67587,3667587,San Bernardino,36,2024,American Indian/Alaska Native,0.0,0.0,,,0.3576,
district,Adelanto Elementary,67587,3667587,San Bernardino,36,2024,Asian,12.0,0.0,0.0,1.0,0.3576,-0.3576
district,Adelanto Elementary,67587,3667587,San Bernardino,36,2024,Black/African American,1841.0,871.0,0.4731,0.5269,0.3576,0.1155
district,Adelanto Elementary,67587,3667587,San Bernardino,36,2024,English Learners,1545.0,450.0,0.2913,0.7087,0.3576,-0.0663
district,Adelanto Elementary,67587,3667587,San Bernardino,36,2024,Female,4601.0,1594.0,0.3464,0.6536,0.3576,-0.0112
district,Adelanto Elementary,67587,3667587,San Bernardino,36,2024,Filipino,0.0,0.0,,,0.3576,
district,Adelanto Elementary,67587,3667587,San Bernardino,36,2024,Foster,327.0,103.0,0.315,0.685,0.3576,-0.0426
district,Adelanto Elementary,67587,3667587,San Bernardino,36,2024,GR13,2809.0,926.0,0.3297,0.6703,0.3576,-0.0279
district,Adelanto Elementary,67587,3667587,San Bernardino,36,2024,GR46,3021.0,989.0,0.3274,0.6726,0.3576,-0.0302
district,Adelanto Elementary,67587,3667587,San Bernardino,36,2024,GR78,2114.0,815.0,0.3855,0.6145,0.3576,0.0279
district,Adelanto Elementary,67587,3667587,San Bernardino,36,2024,GR912,468.0,197.0,0.4209,0.5791,0.3576,0.0633
district,Adelanto Elementary,67587,3667587,San Bernardino,36,2024,GRTK8,9024.0,3197.0,0.3543,0.6457,0.3576,-0.0033
district,Adelanto Elementary,67587,3667587,San Bernardino,36,2024,GRTKKN,1080.0,467.0,0.4324,0.5676,0.3576,0.0748
district,Adelanto Elementary,67587,3667587,San Bernardino,36,2024,Hispanic/Latino,6301.0,2034.0,0.3228,0.6772,0.3576,-0.0348
district,Adelanto Elementary,67587,3667587,San Bernardino,36,2024,Homeless,235.0,144.0,0.6128,0.3872,0.3576,0.2552
district,Adelanto Elementary,67587,3667587,San Bernardino,36,2024,Male,4889.0,1800.0,0.3682,0.6318,0.3576,0.0106
district,Adelanto Elementary,67587,3667587,San Bernardino,36,2024,Native Hawaiian/Pacific Islander,11.0,8.0,0.7273,0.2727,0.3576,0.3697
district,Adelanto Elementary,67587,3667587,San Bernardino,36,2024,Non-binary,0.0,0.0,,,0.3576,
district,Adelanto Elementary,67587,3667587,San Bernardino,36,2024,RD,292.0,109.0,0.3733,0.6267,0.3576,0.0157
district,Adelanto Elementary,67587,3667587,San Bernardino,36,2024,Socioeconomically Disadvantaged,7762.0,2955.0,0.3807,0.6193,0.3576,0.0231
district,Adelanto Elementary,67587,3667587,San Bernardino,36,2024,Students with Disabilities,1519.0,596.0,0.3924,0.6076,0.3576,0.0348
district,Adelanto Elementary,67587,3667587,San Bernardino,36,2024,Two or More Races,300.0,116.0,0.3867,0.6133,0.3576,0.0291
district,Adelanto Elementary,67587,3667587,San Bernardino,36,2024,White,525.0,186.0,0.3543,0.6457,0.3576,-0.0033
district,Alameda County Office of Education,10017,0110017,Alameda,01,2024,All Students,4315.0,818.0,0.1896,0.8104,0.1896,0.0
district,Alameda County Office of Education,10017,0110017,Alameda,01,2024,American Indian/Alaska Native,0.0,0.0,,,0.1896,
district,Alameda County Office of Education,10017,0110017,Alameda,01,2024,Asian,710.0,11.0,0.0155,0.9845,0.1896,-0.1741
district,Alameda County Office of Education,10017,0110017,Alameda,01,2024,Black/African American,668.0,229.0,0.3428,0.6572,0.1896,0.1532
district,Alameda County Office of Education,10017,0110017,Alameda,01,2024,English Learners,1234.0,239.0,0.1937,0.8063,0.1896,0.0041
district,Alameda County Office of Education,10017,0110017,Alameda,01,2024,Female,2149.0,411.0,0.1913,0.8087,0.1896,0.0017
district,Alameda County Office of Education,10017,0110017,Alameda,01,2024,Filipino,57.0,0.0,0.0,1.0,0.1896,-0.1896
district,Alameda County Office of Education,10017,0110017,Alameda,01,2024,Foster,60.0,15.0,0.25,0.75,0.1896,0.0604
district,Alameda County Office of Education,10017,0110017,Alameda,01,2024,GR13,1155.0,137.0,0.1186,0.8814,0.1896,-0.071
district,Alameda County Office of Education,10017,0110017,Alameda,01,2024,GR46,1061.0,116.0,0.1093,0.8907,0.1896,-0.0803
district,Alameda County Office of Education,10017,0110017,Alameda,01,2024,GR78,552.0,68.0,0.1232,0.8768,0.1896,-0.0664
district,Alameda County Office of Education,10017,0110017,Alameda,01,2024,GR912,1007.0,413.0,0.4101,0.5899,0.1896,0.2205
district,Alameda County Office of Education,10017,0110017,Alameda,01,2024,GRTK8,3295.0,399.0,0.1211,0.8789,0.1896,-0.0685
district,Alameda County Office of Education,10017,0110017,Alameda,01,2024,GRTKKN,527.0,78.0,0.148,0.852,0.1896,-0.0416
district,Alameda County Office of Education,10017,0110017,Alameda,01,2024,Hispanic/Latino,2018.0,452.0,0.224,0.776,0.1896,0.0344
district,Alameda County Office of Education,10017,0110017,Alameda,01,2024,Homeless,34.0,12.0,0.3529,0.6471,0.1896,0.1633
district,Alameda County Office of Education,10017,0110017,Alameda,01,2024,Male,2156.0,404.0,0.1874,0.8126,0.1896,-0.0022
district,Alameda County Office of Education,10017,0110017,Alameda,01,2024,Migrant,0.0,0.0,,,0.1896,
district,Alameda County Office of Education,10017,0110017,Alameda,01,2024,Native Hawaiian/Pacific Islander,23.0,3.0,0.1304,0.8696,0.1896,-0.0592
district,Alameda County Office of Education,10017,0110017,Alameda,01,2024,Non-binary,0.0,0.0,,,0.1896,
district,Alameda County Office of Education,10017,0110017,Alameda,01,2024,RD,25.0,0.0,0.0,1.0,0.1896,-0.1896
district,Alameda County Office of Education,10017,0110017,Alameda,01,2024,Socioeconomically Disadvantaged,2708.0,632.0,0.2334,0.7666,0.1896,0.0438
district,Alameda County Office of Education,10017,0110017,Alameda,01,2024,Students with Disabilities,576.0,155.0,0.2691,0.7309,0.1896,0.0795
district,Alameda County Office of Education,10017,0110017,Alameda,01,2024,Two or More Races,330.0,27.0,0.0818,0.9182,0.1896,-0.1078
district,Alameda County Office of Education,10017,0110017,Alameda,01,2024,White,327.0,29.0,0.0887,0.9113,0.1896,-0.1009
district,Alameda Unified,61119,0161119,Alameda,01,2024,All Students,10864.0,1578.0,0.1453,0.8547,0.1453,0.0
district,Alameda Unified,61119,0161119,Alameda,01,2024,American Indian/Alaska Native,0.0,0.0,,,0.1453,
district,Alameda Unified,61119,0161119,Alameda,01,2024,Asian,2694.0,184.0,0.0683,0.9317,0.1453,-0.077
district,Alameda Unified,61119,0161119,Alameda,01,2024,Black/African American,748.0,202.0,0.2701,0.7299,0.1453,0.1248
district,Alameda Unified,61119,0161119,Alameda,01,2024,English Learners,1072.0,220.0,0.2052,0.7948,0.1453,0.0599
district,Alameda Unified,61119,0161119,Alameda,01,2024,Female,5251.0,756.0,0.144,0.856,0.1453,-0.0013
district,Alameda Unified,61119,0161119,Alameda,01,2024,Filipino,466.0,53.0,0.1137,0.8863,0.1453,-0.0316
district,Alameda Unified,61119,0161119,Alameda,01,2024,Foster,0.0,0.0,,,0.1453,
district,Alameda Unified,61119,0161119,Alameda,01,2024,GR13,2245.0,265.0,0.118,0.882,0.1453,-0.0273
district,Alameda Unified,61119,0161119,Alameda,01,2024,GR46,2459.0,273.0,0.111,0.889,0.1453,-0.0343
district,Alameda Unified,61119,0161119,Alameda,01,2024,GR78,1688.0,268.0,0.1588,0.8412,0.1453,0.0135
district,Alameda Unified,61119,0161119,Alameda,01,2024,GR912,3446.0,574.0,0.1666,0.8334,0.1453,0.0213
district,Alameda Unified,61119,0161119,Alameda,01,2024,GRTK8,7417.0,1003.0,0.1352,0.8648,0.1453,-0.0101
district,Alameda Unified,61119,0161119,Alameda,01,2024,GRTKKN,1025.0,197.0,0.1922,0.8078,0.1453,0.0469
district,Alameda Unified,61119,0161119,Alameda,01,2024,Hispanic/Latino,1968.0,464.0,0.2358,0.7642,0.1453,0.0905
district,Alameda Unified,61119,0161119,Alameda,01,2024,Homeless,64.0,36.0,0.5625,0.4375,0.1453,0.4172
district,Alameda Unified,61119,0161119,Alameda,01,2024,Male,5552.0,808.0,0.1455,0.8545,0.1453,0.0002
district,Alameda Unified,61119,0161119,Alameda,01,2024,Native Hawaiian/Pacific Islander,17.0,7.0,0.4118,0.5882,0.1453,0.2665
district,Alameda Unified,61119,0161119,Alameda,01,2024,Non-binary,41.0,8.0,0.1951,0.8049,0.1453,0.0498
district,Alameda Unified,61119,0161119,Alameda,01,2024,RD,301.0,63.0,0.2093,0.7907,0.1453,0.064
district,Alameda Unified,61119,0161119,Alameda,01,2024,Socioeconomically Disadvantaged,4379.0,1013.0,0.2313,0.7687,0.1453,0.086
district,Alameda Unified,61119,0161119,Alameda,01,2024,Students with Disabilities,1446.0,378.0,0.2614,0.7386,0.1453,0.1161
district,Alameda Unified,61119,0161119,Alameda,01,2024,Two or More Races,1635.0,203.0,0.1242,0.8758,0.1453,-0.0211
district,Alameda Unified,61119,0161119,Alameda,01,2024,White,2880.0,362.0,0.1257,0.8743,0.1453,-0.0196
district,Albany City Unified,61127,0161127,Alameda,01,2024,All Students,3664.0,430.0,0.1174,0.8826,0.1174,0.0
district,Albany City Unified,61127,0161127,Alameda,01,2024,American Indian/Alaska Native,0.0,0.0,,,0.1174,
district,Albany City Unified,61127,0161127,Alameda,01,2024,Asian,1163.0,91.0,0.0782,0.9218,0.1174,-0.0392
district,Albany City Unified,61127,0161127,Alameda,01,2024,Black/African American,146.0,25.0,0.1712,0.8288,0.1174,0.0538
district,Albany City Unified,61127,0161127,Alameda,01,2024,English Learners,500.0,51.0,0.102,0.898,0.1174,-0.0154
district,Albany City Unified,61127,0161127,Alameda,01,2024,Female,1759.0,200.0,0.1137,0.8863,0.1174,-0.0037
district,Albany City Unified,61127,0161127,Alameda,01,2024,Filipino,28.0,2.0,0.0714,0.9286,0.1174,-0.046
district,Albany City Unified,61127,0161127,Alameda,01,2024,Foster,0.0,0.0,,,0.1174,
district,Albany City Unified,61127,0161127,Alameda,01,2024,GR13,800.0,53.0,0.0662,0.9338,0.1174,-0.0512
