geo_level,district_name,district_code,district_cds,county_name,county_code,year,subgroup,cohort,chronic_absent_count,chronic_absent_rate,non_chronic_rate,rate_all,gap_vs_all
state,,,,,,2024,All Students,6186983.0,1316205.0,0.2127,0.7873,0.2127,0.0
state,,,,,,2024,American Indian/Alaska Native,11808.0,4490.0,0.3803,0.6197,0.2127,0.1676
state,,,,,,2024,Asian,586232.0,50447.0,0.0861,0.9139,0.2127,-0.1266
state,,,,,,2024,Black/African American,303444.0,102585.0,0.3381,0.6619,0.2127,0.1254
state,,,,,,2024,English Learners,1213892.0,284879.0,0.2347,0.7653,0.2127,0.022
state,,,,,,2024,Female,3000793.0,638409.0,0.2127,0.7873,0.2127,0.0
state,,,,,,2024,Filipino,115891.0,11335.0,0.0978,0.9022,0.2127,-0.1149
state,,,,,,2024,Foster,20954.0,8041.0,0.3837,0.6163,0.2127,0.171
state,,,,,,2024,GR13,1291970.0,234723.0,0.1817,0.8183,0.2127,-0.031
state,,,,,,2024,GR46,1349737.0,224513.0,0.1663,0.8337,0.2127,-0.0464
state,,,,,,2024,GR78,928996.0,186737.0,0.201,0.799,0.2127,-0.0117
state,,,,,,2024,GR912,2051262.0,518682.0,0.2529,0.7471,0.2127,0.0402
state,,,,,,2024,GRTK8,4134683.0,797017.0,0.1928,0.8072,0.2127,-0.0199
state,,,,,,2024,GRTKKN,560027.0,149685.0,0.2673,0.7327,0.2127,0.0546
state,,,,,,2024,Hispanic/Latino,3489026.0,852598.0,0.2444,0.7556,0.2127,0.0317
state,,,,,,2024,Homeless,268561.0,95747.0,0.3565,0.6435,0.2127,0.1438
state,,,,,,2024,Male,3177613.0,674408.0,0.2122,0.7878,0.2127,-0.0005
state,,,,,,2024,Migrant,46251.0,7988.0,0.1727,0.8273,0.2127,-0.04
state,,,,,,2024,Missing Gender,0.0,0.0,,,0.2127,
state,,,,,,2024,Native Hawaiian/Pacific Islander,10410.0,3629.0,0.3486,0.6514,0.2127,0.1359
state,,,,,,2024,Non-binary,1503.0,526.0,0.35,0.65,0.2127,0.1373
state,,,,,,2024,RD,51587.0,9876.0,0.1914,0.8086,0.2127,-0.0213
state,,,,,,2024,Socioeconomically Disadvantaged,4052856.0,1061961.0,0.262,0.738,0.2127,0.0493
state,,,,,,2024,Students with Disabilities,924636.0,274215.0,0.2966,0.7034,0.2127,0.0839
state,,,,,,2024,Two or More Races,268897.0,46907.0,0.1744,0.8256,0.2127,-0.0383
state,,,,,,2024,White,1227547.0,201711.0,0.1643,0.8357,0.2127,-0.0484
