geo_level,district_name,district_code,district_cds,county_name,county_code,year,subgroup,cohort,chronic_absent_count,chronic_absent_rate,non_chronic_rate,rate_all,gap_vs_all
county,,,,Alameda,1.0,2024,All Students,220644.0,43937.0,0.1991,0.8009,0.1991,0.0
county,,,,Alpine,2.0,2024,All Students,63.0,26.0,0.4127,0.5873,0.4127,0.0
county,,,,Amador,3.0,2024,All Students,4356.0,1105.0,0.2537,0.7463,0.2537,0.0
county,,,,Butte,4.0,2024,All Students,31799.0,6809.0,0.2141,0.7859,0.2141,0.0
county,,,,Calaveras,5.0,2024,All Students,5710.0,1511.0,0.2646,0.7354,0.2646,0.0
county,,,,Colusa,6.0,2024,All Students,4950.0,895.0,0.1808,0.8192,0.1808,0.0
county,,,,Contra Costa,7.0,2024,All Students,176778.0,36427.0,0.2061,0.7939,0.2061,0.0
county,,,,Del Norte,8.0,2024,All Students,4379.0,1215.0,0.2775,0.7225,0.2775,0.0
county,,,,El Dorado,9.0,2024,All Students,33134.0,4671.0,0.141,0.859,0.141,0.0
county,,,,Fresno,10.0,2024,All Students,221348.0,50869.0,0.2298,0.7702,0.2298,0.0
county,,,,Glenn,11.0,2024,All Students,6829.0,1062.0,0.1555,0.8445,0.1555,0.0
county,,,,Humboldt,12.0,2024,All Students,18306.0,5097.0,0.2784,0.7216,0.2784,0.0
county,,,,Imperial,13.0,2024,All Students,37717.0,9075.0,0.2406,0.7594,0.2406,0.0
county,,,,Inyo,14.0,2024,All Students,4914.0,2517.0,0.5122,0.4878,0.5122,0.0
county,,,,Kern,15.0,2024,All Students,212082.0,41786.0,0.197,0.803,0.197,0.0
county,,,,Kings,16.0,2024,All Students,31746.0,5900.0,0.1859,0.8141,0.1859,0.0
county,,,,Lake,17.0,2024,All Students,11033.0,3808.0,0.3451,0.6549,0.3451,0.0
county,,,,Lassen,18.0,2024,All Students,4033.0,913.0,0.2264,0.7736,0.2264,0.0
county,,,,Los Angeles,19.0,2024,All Students,1368982.0,311378.0,0.2275,0.7725,0.2275,0.0
county,,,,Madera,20.0,2024,All Students,34251.0,7985.0,0.2331,0.7669,0.2331,0.0
county,,,,Marin,21.0,2024,All Students,31139.0,4264.0,0.1369,0.8631,0.1369,0.0
county,,,,Mariposa,22.0,2024,All Students,2029.0,724.0,0.3568,0.6432,0.3568,0.0
county,,,,Mendocino,23.0,2024,All Students,13420.0,3855.0,0.2873,0.7127,0.2873,0.0
