geo_level,district_name,district_code,district_cds,county_name,county_code,year,subgroup,cohort,chronic_absent_count,chronic_absent_rate,non_chronic_rate,rate_all,gap_vs_all
district,ABC Unified,64212.0,1964212.0,Los Angeles,19.0,2024,All Students,18598.0,2559.0,0.1376,0.8624,0.1376,0.0
district,Acalanes Union High,61630.0,761630.0,Contra Costa,7.0,2024,All Students,5462.0,549.0,0.1005,0.8995,0.1005,0.0
district,Ackerman Charter,66761.0,3166761.0,Placer,31.0,2024,All Students,610.0,45.0,0.0738,0.9262,0.0738,0.0
district,Acton-Agua Dulce Unified,75309.0,1975309.0,Los Angeles,19.0,2024,All Students,16734.0,6717.0,0.4014,0.5986,0.4014,0.0
district,Adelanto Elementary,67587.0,3667587.0,San Bernardino,36.0,2024,All Students,9493.0,3395.0,0.3576,0.6424,0.3576,0.0
district,Alameda County Office of Education,10017.0,110017.0,Alameda,1.0,2024,All Students,4315.0,818.0,0.1896,0.8104,0.1896,0.0
district,Alameda Unified,61119.0,161119.0,Alameda,1.0,2024,All Students,10864.0,1578.0,0.1453,0.8547,0.1453,0.0
district,Albany City Unified,61127.0,161127.0,Alameda,1.0,2024,All Students,3664.0,430.0,0.1174,0.8826,0.1174,0.0
district,Alexander Valley Union Elementary,70599.0,4970599.0,Sonoma,49.0,2024,All Students,115.0,7.0,0.0609,0.9391,0.0609,0.0
district,Alhambra Unified,75713.0,1975713.0,Los Angeles,19.0,2024,All Students,15073.0,1784.0,0.1184,0.8816,0.1184,0.0
district,Alisal Union,65961.0,2765961.0,Monterey,27.0,2024,All Students,7615.0,1120.0,0.1471,0.8529,0.1471,0.0
district,Allensworth Elementary,71795.0,5471795.0,Tulare,54.0,2024,All Students,117.0,45.0,0.3846,0.6154,0.3846,0.0
district,Alpaugh Unified,71803.0,5471803.0,Tulare,54.0,2024,All Students,1401.0,413.0,0.2948,0.7052,0.2948,0.0
district,Alpine County Office of Education,10025.0,210025.0,Alpine,2.0,2024,All Students,0.0,0.0,,,,
district,Alpine County Unified,61333.0,261333.0,Alpine,2.0,2024,All Students,63.0,26.0,0.4127,0.5873,0.4127,0.0
district,Alpine Union Elementary,67967.0,3767967.0,San Diego,37.0,2024,All Students,1624.0,376.0,0.2315,0.7685,0.2315,0.0
district,Alta Loma Elementary,67595.0,3667595.0,San Bernardino,36.0,2024,All Students,5785.0,714.0,0.1234,0.8766,0.1234,0.0
district,Alta Vista Elementary,71811.0,5471811.0,Tulare,54.0,2024,All Students,1784.0,161.0,0.0902,0.9098,0.0902,0.0
district,Alta-Dutch Flat Union Elementary,66779.0,3166779.0,Placer,31.0,2024,All Students,96.0,9.0,0.0938,0.9062,0.0938,0.0
district,Alum Rock Union Elementary,69369.0,4369369.0,Santa Clara,43.0,2024,All Students,9223.0,2131.0,0.2311,0.7689,0.2311,0.0
district,Alview-Dairyland Union Elementary,65177.0,2065177.0,Madera,20.0,2024,All Students,381.0,41.0,0.1076,0.8924,0.1076,0.0
district,Alvina Elementary,61994.0,1061994.0,Fresno,10.0,2024,All Students,179.0,10.0,0.0559,0.9441,0.0559,0.0
district,Alvord Unified,66977.0,3366977.0,Riverside,33.0,2024,All Students,17638.0,3877.0,0.2198,0.7802,0.2198,0.0
district,Amador County Office of Education,10033.0,310033.0,Amador,3.0,2024,All Students,37.0,17.0,0.4595,0.5405,0.4595,0.0
district,Amador County Unified,73981.0,373981.0,Amador,3.0,2024,All Students,4319.0,1088.0,0.2519,0.7481,0.2519,0.0
district,Anaheim Elementary,66423.0,3066423.0,Orange,30.0,2024,All Students,15467.0,3578.0,0.2313,0.7687,0.2313,0.0
district,Anaheim Union High,66431.0,3066431.0,Orange,30.0,2024,All Students,28672.0,7234.0,0.2523,0.7477,0.2523,0.0
district,Anderson Union High,69856.0,4569856.0,Shasta,45.0,2024,All Students,1811.0,652.0,0.36,0.64,0.36,0.0
district,Anderson Valley Unified,65540.0,2365540.0,Mendocino,23.0,2024,All Students,403.0,129.0,0.3201,0.6799,0.3201,0.0
district,Antelope Elementary,71472.0,5271472.0,Tehama,52.0,2024,All Students,843.0,120.0,0.1423,0.8577,0.1423,0.0
district,Antelope Valley Union High,64246.0,1964246.0,Los Angeles,19.0,2024,All Students,24927.0,7587.0,0.3044,0.6956,0.3044,0.0
district,Antioch Unified,61648.0,761648.0,Contra Costa,7.0,2024,All Students,17304.0,6068.0,0.3507,0.6493,0.3507,0.0
district,Apple Valley Unified,75077.0,3675077.0,San Bernardino,36.0,2024,All Students,16406.0,5083.0,0.3098,0.6902,0.3098,0.0
district,Arcadia Unified,64261.0,1964261.0,Los Angeles,19.0,2024,All Students,9348.0,651.0,0.0696,0.9304,0.0696,0.0
district,Arcata Elementary,62679.0,1262679.0,Humboldt,12.0,2024,All Students,1210.0,286.0,0.2364,0.7636,0.2364,0.0
district,Arcohe Union Elementary,67280.0,3467280.0,Sacramento,34.0,2024,All Students,551.0,117.0,0.2123,0.7877,0.2123,0.0
district,Arena Union Elementary,65557.0,2365557.0,Mendocino,23.0,2024,All Students,301.0,132.0,0.4385,0.5615,0.4385,0.0
district,Armona Union Elementary,63875.0,1663875.0,Kings,16.0,2024,All Students,1968.0,252.0,0.128,0.872,0.128,0.0
district,Aromas - San Juan Unified,75259.0,3575259.0,San Benito,35.0,2024,All Students,1003.0,200.0,0.1994,0.8006,0.1994,0.0
district,Arvin Union,63313.0,1563313.0,Kern,15.0,2024,All Students,3049.0,580.0,0.1902,0.8098,0.1902,0.0
district,Atascadero Unified,68700.0,4068700.0,San Luis Obispo,40.0,2024,All Students,4367.0,1159.0,0.2654,0.7346,0.2654,0.0
district,Atwater Elementary,65631.0,2465631.0,Merced,24.0,2024,All Students,5224.0,610.0,0.1168,0.8832,0.1168,0.0
district,Auburn Union Elementary,66787.0,3166787.0,Placer,31.0,2024,All Students,1536.0,471.0,0.3066,0.6934,0.3066,0.0
district,Azusa Unified,64279.0,1964279.0,Los Angeles,19.0,2024,All Students,6730.0,1867.0,0.2774,0.7226,0.2774,0.0
district,Baker Valley Unified,73858.0,3673858.0,San Bernardino,36.0,2024,All Students,133.0,8.0,0.0602,0.9398,0.0602,0.0
district,Bakersfield City,63321.0,1563321.0,Kern,15.0,2024,All Students,31256.0,7487.0,0.2395,0.7605,0.2395,0.0
district,Baldwin Park Unified,64287.0,1964287.0,Los Angeles,19.0,2024,All Students,10733.0,2295.0,0.2138,0.7862,0.2138,0.0
district,Ballard Elementary,69104.0,4269104.0,Santa Barbara,42.0,2024,All Students,107.0,12.0,0.1121,0.8879,0.1121,0.0
district,Ballico-Cressey Elementary,65649.0,2465649.0,Merced,24.0,2024,All Students,370.0,50.0,0.1351,0.8649,0.1351,0.0
district,Bangor Union Elementary,61382.0,461382.0,Butte,4.0,2024,All Students,88.0,15.0,0.1705,0.8295,0.1705,0.0
district,Banning Unified,66985.0,3366985.0,Riverside,33.0,2024,All Students,4607.0,1376.0,0.2987,0.7013,0.2987,0.0
district,Banta Unified,77388.0,3977388.0,San Joaquin,39.0,2024,All Students,3265.0,513.0,0.1571,0.8429,0.1571,0.0
district,Barstow Unified,67611.0,3667611.0,San Bernardino,36.0,2024,All Students,7064.0,3352.0,0.4745,0.5255,0.4745,0.0
district,Bass Lake Joint Union Elementary,65185.0,2065185.0,Madera,20.0,2024,All Students,865.0,212.0,0.2451,0.7549,0.2451,0.0
district,Bassett Unified,64295.0,1964295.0,Los Angeles,19.0,2024,All Students,3014.0,706.0,0.2342,0.7658,0.2342,0.0
district,Bayshore Elementary,68858.0,4168858.0,San Mateo,41.0,2024,All Students,353.0,61.0,0.1728,0.8272,0.1728,0.0
district,Bear Valley Unified,67637.0,3667637.0,San Bernardino,36.0,2024,All Students,2345.0,683.0,0.2913,0.7087,0.2913,0.0
district,Beardsley Elementary,63339.0,1563339.0,Kern,15.0,2024,All Students,2198.0,715.0,0.3253,0.6747,0.3253,0.0
district,Beaumont Unified,66993.0,3366993.0,Riverside,33.0,2024,All Students,19352.0,3110.0,0.1607,0.8393,0.1607,0.0
district,Bella Vista Elementary,69872.0,4569872.0,Shasta,45.0,2024,All Students,363.0,84.0,0.2314,0.7686,0.2314,0.0
district,Belleview Elementary,72306.0,5572306.0,Tuolumne,55.0,2024,All Students,169.0,41.0,0.2426,0.7574,0.2426,0.0
district,Bellevue Union,70615.0,4970615.0,Sonoma,49.0,2024,All Students,1734.0,428.0,0.2468,0.7532,0.2468,0.0
district,Bellflower Unified,64303.0,1964303.0,Los Angeles,19.0,2024,All Students,10318.0,2298.0,0.2227,0.7773,0.2227,0.0
district,Belmont-Redwood Shores Elementary,68866.0,4168866.0,San Mateo,41.0,2024,All Students,4099.0,433.0,0.1056,0.8944,0.1056,0.0
district,Benicia Unified,70524.0,4870524.0,Solano,48.0,2024,All Students,4472.0,661.0,0.1478,0.8522,0.1478,0.0
district,Bennett Valley Union Elementary,70623.0,4970623.0,Sonoma,49.0,2024,All Students,950.0,120.0,0.1263,0.8737,0.1263,0.0
district,Berkeley Unified,61143.0,161143.0,Alameda,1.0,2024,All Students,9256.0,1067.0,0.1153,0.8847,0.1153,0.0
